content,score
"Rusak ni apps masa jaringan saya 4G+ download up to 10mb/ps ketika buka ni apps loading lama, terdapat gangguan di jaringan anda lah gblk emg mau ngumpul tugas aja susah banget tolong di perbaiki min tod",negative
Ok banget,positive
"Apk anjim, mempersulit hidupku di masa kuliah online. Servernya selalu down setiap hari. Cuma ngambil keuntungan aja disaat pandemi.",negative
"Aplikasi dibuka ga bisa buka, sering error #rrqwin #vivabtr",negative
"Saya Sangat Terbantu Dengan Adanya Aplikasi Ini,Mudah Utk Dimengerti🙏",positive
Awalnya aplikasinya lancar2 saja Tapi belakangan ini sering error Tidak bisa dibuka aplkasi nya padahal jaringan saya full Mohon diperbaiki,positive
susah milih file disaat mau ngumpulin tugas harus satu-satu sampe saya ga bisa ngumpulin dikarenakan repot sama file,negative
"Cukup kecewa sama edlink yang sekarang, karena saat ingin membuka tugas malah force close. Mohon untuk segera diperbaiki",negative
"Aku ga bisa masuk edlink, loading mulu muter2 doang....",negative
"Kenapa akun edlink saya sering sekali tidak dapat dibuka, dan yang paling menyebalkan adalah saya sering alfa karna aplikasinya tidak dapat dibuka, padahal jaringannya saya baik-baik saja, auto turun nilai kuliah saya🔥",negative
Sangat kecewa karna sudah seminggu ini setiap upload file tugas keterangannya penyimpanan melebihi batas. Dan disuruh upgrade terus padahal tugas sangat banyak 😭 Tolong diperbaiki untuk kapasitas penyimpanan maksimalnya karna file yg dikirim tidak hanya berukuran kecil 🙏🏻,negative
"Sehabis di perbarui jadi sering gak bisa dibuka, terus keluar sendiri. Padahal awalnya bagus banget sekarang ko jadi gini.",negative
Error terus.... Mohon diperbaharui sistemnya biar lebih cepet dan gak suka error' lagi.,negative
"Kurang min. Masih kurang dlm masalah penyimpanan. mau pindahin dr personal ke perguruan tinggi ga bisa katanya upgrade dlu, maksud nya apa?. Tolong kasih tips untuk masalah penyimpanan min. masa depan masih panjang 😂 sempat w masih mau kirim tugas malah penyimpanan dah habis 🙏mohon bantuan nya min👍",positive
no comment,positive
Kenapa setelah di update di menu kelas akdemik jadwalnya kosong padahal di aplikasi punya teman ku yang belum di apdate ada,negative
Sumpah ini aplikasi nya loading bgt bunnnn😭😭😭,negative
Saya merasa kecewa dgan fitur baru app ini tidak berjalan baik seperti dulu kala...ohhhhhh mengapaaaaaa,negative
Mantap,positive
"Ngirim tugas lemkt kali,setelah itu gabisa masuk edlink lagi yg tolong perbaiki lah",negative
Mantap slur.,positive
Keren banget,negative
p Za as Langsung,negative
TOLONG BANTU DONG SAMPE SKRG EDLINKNYA GABISA DIBUKA UDAH DARI 2MINGGU MASIH MUTER TERUS. TOLONG LAH INI JADI KETINGGALAN MATKUL TERUS. MOHOB SEGERA BANTU,negative
Sangat baikkkkk,positive
Sering tidak dapat tehubung ke server,positive
"Apps belajar kurang ajr, mau kumpul kan tugas malah nge lag parah pas upload file, auto abis lah dead line nya, servis lagi lah ni app, supaya pas kumpulkan tugas ada kompensasi upload nya",negative
Good,positive
Aneh masa saya tidak bisa menghapus file yg telah lama tidak dipakai,negative
kepada pihak edlink. mengapa ya edlink saya tidak bisa mengirim tugas?saya kesulitan mengirim tugas tapi tidak bisabisa terupload pdf saya,negative
Kenapa edlink versi terbaru ribet amat. Digunakan. Jadi malah bingunk Lebih bagus yang versi lama,negative
👎,negative
suka banget 😃,positive
Melihat krs dan khs tidak bisa,negative
Cukup baik,positive
"Notif Tugas dan Quiz sering tidak muncul, membuat beberapa tugas saya tidak bisa disubmit dan akhirnya nilai saya jelek.",negative
"Serius makin ribet benar ini edlink, gak bisa kebuka lah, lodingnya buat ribet, apa gak ada versi lain",negative
Aplikasi nya lumayan mudah diakses. Tapi kalau bisa kolom komentar otomatis terperbaharui. Biar saat melakukan diskusi via EdLink tidak perlu harus keluar masuk dulu tuk dapat update komentarnya.,positive
Aplikasinya bagus dan sangat membantu para pelajar,positive
Tidak bisa copy paste,negative
"Setelah update ada bug. Sudah berkali-kali terjadi, mau buka materi, komentar, kuis tidak bisa. Mohon diperbaiki secepatnya, karena saya tidak bisa absen selama 2 Minggu di komentar",negative
"Versi lama lebih mudah untuk digunakan, kenapa malah versi terbarunya jadi makin buat sistem lambat. Tidak bisa di scroll pada bagian kelas akademik mohon diperbaiki sistemnya",negative
Makin ribet tampilan barunya,negative
"Mohon di perbaiki lagi, aplikasi ini setelah di update sering keluar sendiri, untuk kedepannya harus di perbaiki lagi",negative
"Force close terus, gimana ini kuliah",negative
Bagus meskipun masih banyak kendala,negative
Sering eror,negative
Aplikasi bobrok sering keluar sendiri pdahal ada tugas. Taik lahhhhhhhjjhhhhhjjjjhhdadgvszcvdsdvbbnsdfh,negative
"Kenapa tiba tiba forceclose sendiri ? Mohon diperbaiki ,agar kenyamanan belajar siswa dapat terpenuhi",negative
"Bisa keluar sendiri, dan lewat HP susah ngerjakan tugas dan kirim tugas nya ribet, tolong perbaiki, Terima kasih",negative
"Edlink setelah di upgrade kok jadi nggak jelas cara pengiriman tugas makin ribet, kuis nggak ada waktu. Saya lebih suka tampilan dan sistem edlink dahulu dari pada sekarang , Terimakasih",negative
sgt bagus dan sgt membantu👍,positive
"Bagus banget aplikasi ini dan membantu dalam kuliah jarak jauh selama ini 🥳🎉👍. Hehehe baru saja masuk kuliah, eh pembelajaran jarak jauh, sedih banget dan nggak bisa ketemu dengan temen-temen ರ_ರ",positive
Untuk tab samsung nggak kompatible ya.. kok nggak bisa jalan. Install bisa tapi ketika dibuka langsung mati,positive
Aplikasi suka close sendiri,negative
"Mohon bantuannya karena Aplikasi sering keluar sendiri/berhenti,tidak bisa copy dan paste serta postingan lama sering tampil di atas sehingga membingungkan,data terbaru tidak sinkron (untuk yang di web:tugas sudah dikerjakan dan dikirim namun masih terlihat diberanda bahwa tugas belum di kerjakan),password sudah di ganti pun masih tetap yang berlaku password yang lama,saya menggunakan Android v.9,dan kejadian ini pun berlaku juga di laptop, terima kasih.",negative
Mantap,positive
"Applikasi sering force close, entah beda update informasi dengan yang versi web, saya sering menemukan perbedaan jam update berita mengenai perkuliahan antara versi app dengan versi web. Mohon untuk pengembangannya dalam proses update data/informasi, agar sama antara versi web sdengan versi app. Untuk app, jika scrol ke berita yg lama, lebih sering force close. Entah kinerjanya menurun karena terlalu banyak data atau ada kendala pada saat proses pengambilan data yang lebih lama. Terimakasih,.",negative
"Setelah update malah jadi ribet, suka berhenti dan keluar sendiri, terus file yang kemaren-kemaren hilang susah di download, tolong perbaiki dan kembalikan ke seperti semula.",negative
"Knp setelah di update malah makin BOBROK?? Masa sy nggak bisa scroll ke atas trus gw pencet sesi-4, eh yg muncul malah sesi-14 😡. TOLONG DI PERBAIKI SEGERA KARNA APK INI DIBUTIHKAN BUAT JALANNYA PERKULIAHAN. MASA NILAI SY ERROR GEGARA APK BOBROK SIH!!",negative
"mohon maaf sebelumnya. apk terbarunya pas di upgrade makin ngawur, dosen udah upload materi udah lama di mahasiswanya malah pas akhir akhir gitu. atau kadang uploadnya kemarin dapat notifnya hari ini",negative
"Maaf sebelumnya, kenapa setelah di upgrade malah makin mempersulit untuk mengumpulkan tugas dan file tugas yang telah kita kerjakan juga tidak terlihat setelah deadline. Sedangkan sebelum upgrade file tugas masih bisa terlihat bahkan ke save di edlink. Jadi kan kita gak bisa buka lagi file tugas kita klo begini hanya dosen saja yang bisa melihat nya, lalu bagaimana mahasiswa bisa mengoreksi mana yang salah dan benar nya. Menurut saya lebih baik bagi perfoma sebelum upgrade",negative
"Setelah upgrade, jadi bingung. pokoknya mh gak bgus.. bagusan yang lama, bagi yang blum upgrade jangan di upgrade saran aja terimakasih",negative
"di menu kelas>>akademik ga bisa di scroll jadi ga bisa liat tugas yg di berikan dosen, bodohnya ni yg membuat pembaruan, menyesal sudah di update, berharap pihak kampus meninggalkan edlink ini, dan berpindah haluan ke haruka edu saja",negative
"Tambah ruwet .,.jika kuis waktu tidak tercantum jadi tidak tahu kapan kuis berhenti",negative
Tidak bisa paste dari catatan yang sudah saya salin:( Tolong dong diperbaikii,negative
"Selamat sore, mohan maaf. Setelah di update saat mengerjakan kuis tidak ada pemberitahuan sisa waktunya berapa, konfirmasinya pun diakhir sehingga apabila waktunya habis dan belum sempat terkonfirmasi seperti tidak mengerjakan soal = nilai 0 (dengan benar:0 salah:0). Tidak seperti dulu bisa dikonfirmasi tiap nomer jadi jwbnnya bisa tersimpan. Semoga bisa diperbaiki lagi, terimakasih",negative
Aplikasi baik,negative
"Kami sudah terbantu dengan apk ini tapi setelah update kok makin tambah down sistemnya, yang pakai smartphone ketika ujian atau kuis kenapa nggak ada waktunya??. Nggak semua mahasiswa maupun siswa mempunyai PC dan sejenisnya. Juga mengenai jawaban pada masing-masing soal tidak bisa di konfirmasi tiap persoalnya harus konfirmasi keseluruhan, bandingkan dengan timeline yang mepet,otomatis pembacaan sistem nilai 0,yang mau tanggung jawab siapa?? #Ayolah sistemnya di perbaiki lagi!!",negative
Setelah di update jadi susah di scroll dan dalam tugas pengisian komentar tidak bisa dilihat. Tolong ya kembalikan lagi ke semula.,negative
"Sekarang saya kecewa sama tampilan baru dari edlink, menurut saya lebih efektif versi yang lama. versi baru ribet, dan jika loading suka lama. Saat saya mau copas jawaban disuruh dosen tidak bisa harus mengetik ulang, jika saya absen saya harus diabsenkan teman lewat akun saya karena hp saya lcd nya rusak dan sebagian huruf tidak bisa diketik kecuali di layar lansdcap. saran saya tolong perbaiki dan jika bisa edlink bisa menerapkan layar landscap karena akan membantu memudahkan saya terimakasih.",negative
"Masak setelah diupdate ga bisa ditempel atau koppy paste appnya gmn sih udh makin ga bagus:( Org mau buru"" kumpulin tugas lewat edlink jadi telat krn ga bisa dikoppy paste",negative
"Payah, muncul notifikasi dari dosen terkait kalau ada tugas yg harus dikumpulkan, setelah dipencet notifnya ada tapi kalau dikeluarin aplikasi nya lalu mau ngecek tugas yg ada di notif tadi malah ga ada. Prett",negative
"Min kalau bisa ada fitur untuk ""remember me "" sebelum login supaya ga ngulang2 lgi isi NIM sm passwordny ,,,trus di tambah lgi waktu ""SESSION"" agar klw lama ga buka msih tetap login tidak keluar otomatis..",positive
Setelah diupdate malah tambah sulittt untuk belajar.. Sulit untuk mengirim tugas.. Tolong bikin seperti semula,negative
"Kualitas aplikasi sangat menurun dari yang sebelum diupdate,catatan yang saya salin tidak bisa paste di catatan ,musti ketik satu2 sampai selesai. Maaf sy kasi bintang 1 aja dulu",negative
setelah diperbaharui menjadi tidak maksimal,negative
setelah di update kok tugas kita tidak bisa dibuka ?,negative
Terbaik,positive
"Setelah Update, ketika dosen memberikan materi kadang materi lama berada di paling atas, padahal kadang kita diwajibkan aktif dengan menjawab pertanyaan dosen secara cepat. Dengan tertimpanya notifikasi membuat kita harus scroll atas bawah lagi.",negative
Baik,positive
Oke,positive
Good,positive
Sangat baik,positive
Kenapa tidak bisa hapus file di personal ya ?,negative
Nyoba dlu,negative
Kenapa Susah menghubungkan ke Perkuliahan nya,positive
Tombol kumpulkan tugas dan comment tidak bisa di klik kenapa ya?,negative
"Stuck di logo masuk padahal jarigan bgus"" aja",negative
"De wisseng pakei jadi, lau walekki siddi bintang",negative
Aplikasi ini kok banyak errornya ya Jawaban saya pada kuis kampus tiba2 di ubah pada saat nekan finish Tolong segera di perbaiki 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,negative
"Setelah diperbarui banyak menu yang tidak berfungsi dengan baik. Tidak bisa diklik dan status pengumpulan tugas tidak ada kata ""selesai"" setelah tugas dikumpulkan. Kenapa jadi gini? Dulu sebelum diperbarui ngga kayak gini lo padahal-_-",positive
Gabisa ngirim tugas gimana ni,negative
bagus,positive
bagus lah,positive
"Tolong perbaiki, saya tidak bisa mengklik tugas dan komentar di edlink saya Kalau seperti itu terus nilai saya akan mendapatkan E Jadi dengan sangatt maksimalkan untuk aplikasi edlink ini Terimakasih",negative
"Loadingnya lama banget, gregetan",negative
"Lama terus kalo upload file, padahal udah ganti ganti internet provider tetep ajaa lama",positive
"Astaga... Tiba2 kelas MK hilang Semua, Tugas sudah dikumpulkan & di submit juga hilang... Parah!.",negative
Sangat mudah,positive
"Jelek, ngupload tugas susah",negative
"Saya kasih dulu bintang 3.. tolong dong min kenpa ya beberapa kelas saya ga ada, tapi di jdl pelajaran ada... Notif dari dosen ada , tapi pas di buka di branda ga ada... Kan sayang ga bisa absennnnn :((",negative
Kelas akademik tidak muncul. error sudsh 2 Minggu. Bagaimana iniii,negative
"Mohon maaf nih min, edlink ya loading terus gak bisa dibuka, padahal hari ini jadwal kuliah. Kemaren juga gak bisa kebuka:( Tolong dong🙇‍♀️",negative
Ini knpa ya ...kn ada kelas baru atau materi baru ..padahal udh di refresh tapi gak muncul2 dan saya cek juga di notif gk ada ...padahal dosen udh memberikan materi tersebut...apakah eror atau gmna ini jelaskan??,negative
Suka eror apknya,negative
Bagaimana cara gabung kelas?,negative
"Aplikasi apaan ini ga memudahkan sama sekali, setiap mau kasih profil selalu terus berhentu, tolong perbaikannya,",negative
Tolong ditingkatkan.saya udah gabisa login seminggu lebih padahal data sudah benar.,negative
Anjing banyak bugnya sial,negative
"Saya download pdf dari aplikasi ini gabisa, keterangan nya pun gada. Langsung keluar aja.",negative
"Sangat menyukainya, karena ini sangat tepat digunakan dalam hal apapun apalagi khususnya untuk kuliah ini sangat tepat digunakan diera covid 19 ini",positive
Mata kuliah saya kok tidak ada ya di kelas edlink...padahal di KRS dan KHS ada... Tapi di kelasnya kaga ketek matkul saya... Gimna ni ya solusinya...?,negative
Maaf min ko saya ingin buka kolam komentar gak bisa ? Mohon diperbaiki min soalnya saya buka lewat app gimana ya solusinya Terimakasih min,negative
"Aplikasi sangat mudah dipahami, cocok untuk perkuliahan",positive
Ini yg paling terpopulerkan dan terbaik app edlink,positive
Min tolong dong knp untuk mobile app nya gakbsa di akses ni,negative
"Kenapa saya ga bisa masuk ke perguruan saya ,padahal username sama passowrd udh bener tp kok ga bisa login",negative
"Ada sedikit kekurangan yang akan membuat fatal bagi mahasiswa dalam penilaian. Gambar yang diupload kedalam tugas, jikalau kita klik gambar tersebut nanti akan terpotong, tapi masih bisa diakalin dengan mendownload terlebih dahulu gambar tersebut. Mohon untuk tim developer app memperbaiki masalah ini. Jadi kalau kita atau bahkan dosen mengklik gambar tersebut, gambar tidak terpotong, jadi tidak perlu untuk mendownload terlebih dahulu Dan semoga cepat update ASAP",negative
Kenapa mata kuliah yang saya ikuti ada yang tidak muncul di halaman kelas ya ? Padahal saya ada tugas di situ. Mohon informasinya karena saya sudah chat admin tp ga ada tanggapan. Terimakasih,negative
Buat di ios dong kesusahan nih,negative
Nga bisa di download,negative
"Makin hancur ni aplikasi, log in makin d persulit, matakuliah gua tiba"" Ngilang semua njirr",negative
"Kok saya gabisa"" download padahal kuota full bnget",negative
Sangat membantu,positive
"Saya kasi 1 dulu, Mohon info, kenapa edlink saya tidak update untuk ruang kelas nya? Sekarang sudah semester ganjil, tapi di edlink nya masih genap, Mohon info",negative
Sudah ada notifnya... ヾ(＾-＾)ノ,positive
Membantu perkuliahan online di masa pandemi covid19 ini,positive
Ok,positive
Bagus buat yang menggunakan,negative
MEMUDAHKAN UNTUK DOSEN. TAPI MEMBODOHKAN UNTUK MAHASISWA.,negative
Sudah di perbaiki terimakasih,positive
Aplikasih ini sangat membantu saya tapi di akhir2 ini apliksh saya sering kalw buka file document susah banget. Mkasih,positive
Sekarang udh normal lagi.. Semoga kedepannya ttp lancar..,positive
"kenapa ya min, akun edlink saya ada 1 tp emailnya terdaftar 2 email yg berbeda, login dengan siakad masuk nya ke akun lain, login dgn google masuknya ke akun lain jg. masalahnya udh saya email kan tp belum ada balasan.",negative
Lama didownload jadi kesel Padahal wifi lancar Awalnya saya kira memori penuh tapi udah saya hapus semua aplikasi di hp saya yg tidak penting eh tetap aja gak mau didownload.. Tolong diperbaiki juga yaa biar makin bagus kedepan,negative
"Mhn untuk perbaiki pd item download, trimakasih",positive
Kenapa tidak bisa sinkronisasi kelas yah?,negative
"Yang buat aplikasi ini,mudah""an besok dijogetin di dalem peti sama abng"" dari ghana.",negative
Tambahin fitur bayar Pendidikan lewat Shopee min.,positive
Kenapa dibilang 13 MB tapi yang harus dihapus aplikasi lainnya harus 200MB,negative
Akhirnya bisa masuk,positive
Aplikasinya bagus Kenapa di aplikasi saya kelas akademik yg dari siakat lambat maauaknya tolong di bantu admin,negative
Bagus menggunakan aplikasi ini saat kuliah online.,positive
Baik,positive
Kenapa saya tidak bisa membuka komentar dosen saya padahal untuk edlink support & yg lainnya bisa dibuka? Padahal sudah saya keluar-masukkan & saya refresh tp tdk berubah,positive
sedang pemeliharaan terus menerus...mohon ditingkatkan,negative
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",positive
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",positive
"Sudah baik aplikasinya, Sekedar masukan tolong di komtentar di tambahkan fitur balas sehingga saat kelompok presentasi dan ad pernyaan di komentar dapat langsung di balas sehingga komtentar dapat terlihat lebih rapi dan setiap diskusi lebih efisien.",positive
Server sering down. Sial,negative
Niru design tokopedia nih? Untung ngga kena copyright🤭,negative
"Tolong segera tambahkan aplikasi pada pengguna iOs agar bisa mengakses apk ini, terimakasih",positive
Semoga Bisa mudah belajar dengan aplikasi ini😊,positive
Knpa Harus online,negative
Ok banget,positive
Sangat mmbntu dan memuaskan...salam sukses selluu tokopedia,positive
Nice,positive
"Menyesal , benar² buang kuota hanya untuk download . Sudah buat akun , tdk bisa login²",negative
Sangat bermanfaat untuk pembelajaran online..,positive
Bagus,positive
Go for use ...............,positive
Aplikasi yamg sangat bagus,positive
"Tolong di tingkat kan lagi , setiap kali buka untuk nilai dll ga keluar , harus log in berulang2 kali",negative
Sangat bagus Dan membantu dalam proses belajar mengajar di kelas,positive
Kalo bisa hadirkan di appstore . Agar pengguna ios dapat menggunakan nya,positive
Good,positive
Aplikasi yg bagus,positive
"Sangat kecewa setelah diupdate semakin buruk dan lambat, tampilan lebih simpel yang belum diupdate. Mohon perbaiki. Update harus lebih baik bukan lebih buruk seperti ini.",negative
"Aplikasi luar,sampe bingung klo ada apa2 nya gmn...... Hadeh",negative
Bagus,positive
😇,positive
Aplikasi sering error',negative
"Aplikasinya bagus dan mudah digunakan, memudahkan kuliah daring selama pandemi ini wkwkwk 😆",positive
"Tolong Ditingkatkan lagi, saya tidak bisa menghapus file buat mengurangi kapasitas memori di edlink, karena setiap mau upload file walaupun sudah dikompres itu selalu gagal. Tolong diperbaiki 🙏",negative
Bagus juga,positive
Aplikasinya sangat membantu bagi mahasiswa,positive
"Kenapa jawaban saya bisa berubah2 sendiri ya, tadinya A jadi B, sudah saya pastikan sampai berkali2 jawaban awal A nanti ketika dikumpulkan dan saya cocokkan lagi berubah jadi B. sangat disayangkan sekali karena mempengaruhi nilai",negative
Mantap,positive
Sudah baik..,positive
Aplikasi yang sangat bagus untuk memantu kuliah online,positive
Kenapa saya tidak bisa download file di edlink? Padahal sebelumnya saya tidak ad kendala di edlink .ehh sekarang tiba² edlink saya tidak bisa ngunduh file. Jadi kendala ke kuliah saya. Tolong bantuannya dong Min. Soalnya kalo saya download file dari mana pun kecuali edlink bisa semua. Kouta juga masih ada. Handphone saya realme 5i. Mohon bantuannya,negative
Gak bisa download file jenis document dan pdf,negative
Aplikasinya sangat membantu saya dalam belajar,positive
"Jaringan internet saya lancar, tetapi stelah terbuka edlink sevima cuman loading di beranda tanpa memunculkan berita, kelas, dll. Jadi , saya gk bisa kumpulkan tugas",negative
"mengapa edlink sy tdk bs uploax tugas yaa? apakah blm support adro 10 ? atau yg bagaimana ?? karena tertera folder yg ada hanya ""storages"" tanpa ada pilihan internal ataupun external, mohon bantuannya",negative
Aplikasinya parah ancur nilai semester ini gara gara aplikasinya yang kaga jelas,negative
👍👍👍,positive
Kok edlink jadi jelek bgt. Bagusan sebelum di perbaharui tau.,negative
Good,positive
Tolong perbaiki untuk android 10 tidak bisa Download dan Upload File,negative
Okee,positive
Jelek,negative
Sangat bagus untuk anak kuliah,positive
"Bagus dan dapat berkomunikasi dengan siswa, sayangnya kapasitas penyimpanan/unggah file terbatas",positive
Terbaik,positive
"Kenapa ketika ujian, waktunya sudah tidka bisa dilihat?",negative
Ok,positive
"Kenapa sih keluar terus, harus masuk lagi, dan susah banget masuknya😑",negative
4 dulu ya..soalnya baru coba..,positive
Aplikasi selalu terhenti dan tidak bisa mendonload berkas,negative
Baik,positive
Sangat bermanfaat,positive
"Kenapa akun edlink saya keluar sendiri? Padahal sekalipun nggak pernah saya log out, tetap dalam akun yang sama, tapi sekarang akun saya log out dengan sendirinya, bahkan saya coba masuk kembali lewat akun google, siakad bahkan email pun juga gk bisa semua. Tolong untuk developer diperbaiki lagi edlink nya, sangat terganggu bila terus seperti ini, mengganggu pelajaran dan absen yang akan dilakukan",negative
"Cukup lengkap fiturnya, lg dipelajari. Sperti edm*** saya suka ini smg edlink lebih baik lagi. Oh ya untuk menambahkan jenjang pendidikan jk SMK gimana ya..",positive
"Tolong di update lagi, file setelah download tidak bisa dibuka di handphone",negative
"App ini bagus tp makin lama makin menurun aja ya, tiap refresh atau kembali ke beranda pst nge close2 sndiri pdhl jaringan stabil pake buka apa aja cpet, app ini doang bermasalah, dan sring bgt gangguan klo pke indihome. Tlg diperbaiki dong ujian jg kadang keganggu grgr sring error pke indihome.",negative
sangat membantu dalam akses perkuliahan ..,positive
Server rusak teroos perbaiki tuh server nggak mau di download lagi filenya dah lah males,negative
"Tolong di beri notifikasi ketika ada materi,kuis baru",negative
Good,positive
Penyimpananya terbatas,negative
Berikan pelayanan yg memuaskan dan berikan reward,positive
"Aplikasinya bermanfaat, tapi sering eror",positive
Tidak bisa dipakai jika tidak di update,negative
"Apk nya bohong nihh, aku berkali-kali masuk, komen, dll. Tpi kok presensi ku kosong, hmpir puluhan kali loh aku masuk n komen. Ktanya klo sudh masuk , komen dll presensi bkaln terisi otomatis.. Gak bener nihh",negative
"Tolong kepada pihak pengembang.. Saya sudah mendownload materi. Komen dll. Kenapa saya masih tidak terbaca mendownload, dan komen di absen dosen saya..... Tolong diperbaiki lagi.. Sangat mengganggu kami dalam penilaian. Dan saran saya juga ada notifikasi walaupun tdk saat membuka apk ini. Terima kasih...",negative
Tolong dong edlink di benerin ngirim tugas aja melebihi batas terus di hapus ga bisa makin susah di pake,negative
Tolonglah apknya di perbaiki lagi loadingnya lama sekali banyak makan waktu. Sehingga kuliah kami mengalami keterlambatan,negative
"Eddlink nyaman di pakai , tpi kalau untuk di pakai upload tugas , ruang tidak mencukupi trus pdahal foto cuma beberapa aja , dan berkas susah untuk dihapus ,",positive
👍,positive
Sekarang sering error,negative
Sudah mulai membaik,negative
Cukup,negative
Kenapa makin susah edlinknya sudah diperbaharui,negative
Bagus,positive
Lemot,negative
Ok,positive
Kenapa saya tidak bisa perbaharui aplikasi ini?,negative
Sekarang edkink bikin ribet menjak di oerbarui malah ga bisa dipake,negative
Toplah,positive
Edlink susah untuk login/masuk padahal kuota internet saya baru saya isi dari semalam mau kumpul tugas susah banget dan pagi dicoba juga gak bisa masuk/login untuk kumpul tugas. Tolong diperbaiki aplikasi ini supaya membantu siswa/mahasiswa yang lagi kuliah online. Bad,negative
Kereenn🖒,positive
Memudahkan dalam pembelajaran daring,positive
Masih mencoba,positive
"Maaf untuk komen sy yg tidak menyenangkan kemarin Sy hanya emosi karna sulit skali pada waktu ujian, skali lagi maaf Trimakasih🙏🏿",positive
Aplikasi mulai kyk goblok hp gue bukan hp kentang tapi lolanya ngeri boss,negative
Memudahkan untk kuliah online.,positive
mantap,positive
Payah,negative
Ok,positive
updatenya terlalu besar sehingga data pada hp tidak mencukupi sehingga terpaksa harus harus instalan apk lain.,negative
Bagus,positive
Sering Eror,positive
Mantap dehh,positive
Nice,positive
Menarik,positive
Knpa ini ngak bisa buat ngirim file sih,negative
"Bagus sekali, sangat membantu mahasiswa",positive
Rodo embuh iki,negative
Mayan,positive
Suka,positive
Terbaik,positive
"Edlink kacau buat download dokumennya aja gak bisa, gimana nih dev gak ada perbaikan? Semakin kesini kok malah semakin merepotkan",negative
"Terlalu sering memperbarui, jadi kelasku terhambat😖",negative
Apk sangat membantu saya dalam pembelajaran daring,positive
"Setiap d refresh akunya selalu keluar minta login lagi, lebih enak pake yang lama",negative
"Kami sangat berterima kasih kpd aplikasi ini, karna aplikasi ini ada kami bisa kuliah",positive
Sangat baik,positive
"Kenapa setelah di perbaharuui justru mempersulit pemakainya ? Kemaren kemaren aplikasi nya sangat membantu hlo. Saya bisa ngliat tugas udah dikumpulin belum,tugas yang ngumpulin siapa aja dan bisa diubah jika ada kesalahan. Setelah diperbaharui malah jadi ga nyaman. Ayolah support kita mahasiswa mahasiswi yang menggunakan aplikasi ini. Tolonggg bangett",negative
Apk nya bagus😊,positive
Terima kasih membantu untuk pembelajaran secara daring,positive
"Alhamdulillah aplikasi ini sangat membantu mengumpulkan tugas kuliah, tpi jaringannya harus bagus hrus full..",negative
Penyimpanan ruangnya sedikit,negative
Thk,positive
Pembaruan terus. Tidak sidarankan untuk mahasiswa kere macam saya.,negative
Sangat membantu,positive
Bisa gak apk nya di apus dri play store? Gak guna soal nya lemot...,negative
Bikin pening mahasiswa tugas selalu numpuk di kejar waktu .awal nya si yes apknya lama lama kok loading lama ..,negative
B.aja,negative
"Disini saya kecewa dikarenakan Edlink susah dibuka kalo pake internetan dari kartu Indosat padahal kuota unlimited dipake buat medsos,game mobile,mbah google baik2 aja bahkan lancar kecepatan juga mbps giliran pake buat buka edlink malah loading terus, lemot kayak nggak ada kuota, malah kecepatan berubah 0,00 kbps, Parahhhh,,, terus juga kalo pake hp iPhone malah dibatesi mulai dari cara download tugas/kumpul tugas dll",negative
Sangat membantu di saat situasi pandemi seperti sekarang ini,positive
"Kenalan ah, saya dari universtitas bale bandung 👏🙌",positive
Bagus,positive
"Kenapa setelah diperbarui tambah jelek aplikasinya, bagusan edlink yg lama, mohon diperbaiki demi kenyamanan",negative
Kacau parah,negative
Sangat bermanfaat,positive
Koneksi stabil tapi saaat membuka edlink selalu error' atau lemot.. mohon di perhatikan lagi devlopernya,negative
Mantul,positive
Sangat membantu perkuliahan,positive
Bgus sekali,positive
Kenapa ketika di perbaharui kita tidak bisa lagi melihat anggota kelas kita yang sudah mengumpulkan tugas?,negative
Good,positive
Aplikasi Ini Sangat Membantu Saya Dalam Berkuliah Online,positive
Ok,negative
Good App,positive
Mantap,positive
Not too good,negative
"Sistemnya suka keluar2, gajelas",negative
"Setelah diperbaharui, aplikasi menjadi lebih baik. Sukses EdLink.",positive
Oke,positive
coba dulu,positive
Bagus,positive
Aplikasi bermasalah,negative
mantappp,positive
Sangat membantu sekali bagi siswa sampai mahasiswa,positive
Bagus,positive
"Lemot, server nya kentang",negative
Aplikasinya bagus Dan sangat berguna untuk perkuliahan.,positive
Keren,positive
Kadang loading nya lama,negative
Setuju dan sangat bermanfaat bagi kami,positive
Terimakasih edlink sudah membantu,negative
Sangat baik,positive
Good,positive
Mohon d adakan notifikasi jika ada dosen yang mempost di edlink.. biar kami lebih cepat merespon,positive
Great,positive
Sering ada gangguan pada aplikasinya,negative
"Mengecewakan, sering down ga jelas",negative
Lemot,negative
Edlink sangat membantu dan berguna bagi mahasiswa untuk perkuliahan disaat dunia sedang dilanda waba virus corona/covid-19 ini. Terimakasih edlink 👍👍,positive
Lemottttt payah,negative
